"STATISTIC Label","Quarter","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Foxford, Mayo","Euro","496.14"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Swinford, Mayo","Euro","427.13"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Westport, Mayo","Euro","606.87"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Meath","Euro","763.5"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Ashbourne, Meath","Euro","932.55"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Athboy, Meath","Euro","634.66"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Bettystown, Meath","Euro","780.5"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Clonee, Meath","Euro","955.21"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Drogheda, Meath","Euro","828.14"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Duleek, Meath","Euro","697.15"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Dunboyne, Meath","Euro","1031.18"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Dunshaughlin, Meath","Euro","789.73"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Enfield, Meath","Euro","796.06"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Kells, Meath","Euro","596.12"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Laytown, Meath","Euro","758.52"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Navan, Meath","Euro","693.38"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Ratoath, Meath","Euro","985.16"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Stamullen, Meath","Euro","781.94"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Trim, Meath","Euro","692.62"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Monaghan","Euro","504.93"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Ballybay, Monaghan","Euro","412.24"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Carrickmacross, Monaghan","Euro","539.01"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Castleblayney, Monaghan","Euro","482.09"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Monaghan Town","Euro","516.88"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Offaly","Euro","554.73"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Banagher, Offaly","Euro","535.81"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Birr, Offaly","Euro","503.82"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Clara, Offaly","Euro","536.63"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Edenderry, Offaly","Euro","589.32"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Tullamore, Offaly","Euro","561.63"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Roscommon","Euro","472.24"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Roscommon Town","Euro","525.08"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Athlone, Roscommon","Euro","599.33"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Ballaghaderreen, Roscommon","Euro","352.61"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Boyle, Roscommon","Euro","411.34"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Castlerea, Roscommon","Euro","398.1"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Strokestown, Roscommon","Euro","469.28"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Sligo","Euro","560.54"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Sligo Town","Euro","593.81"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Ballinode, Sligo","Euro","770.2"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Ballisodare, Sligo","Euro","532.11"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Ballymote, Sligo","Euro","511.24"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Ballytivnan, Sligo","Euro",""
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Collooney, Sligo","Euro","517.35"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Lough Gill, Sligo","Euro",""
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Strandhill, Sligo","Euro","747.67"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Tubbercurry, Sligo","Euro","410.82"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Tipperary","Euro","543.58"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Tipperary Town","Euro","500.67"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Ballina, Tipperary","Euro","665.7"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Cahir, Tipperary","Euro","522.72"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Carrick-On-Suir, Tipperary","Euro","564.27"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Cashel, Tipperary","Euro","512.96"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Clonmel, Tipperary","Euro","603.59"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Fethard, Tipperary","Euro","523.5"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Nenagh, Tipperary","Euro","514.75"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Roscrea, Tipperary","Euro","534.38"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Templemore, Tipperary","Euro","474.44"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Thurles, Tipperary","Euro","515.44"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Waterford","Euro","558.03"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Waterford City","Euro","564.6"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Ballytruckle, Waterford","Euro",""
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Canada Street, Waterford","Euro",""
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Castle Place, Waterford","Euro",""
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Cork Road, Waterford","Euro","511.33"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Dungarvan, Waterford","Euro","550.41"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Dunmore East, Waterford","Euro","593"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Dunmore Road, Waterford","Euro","692.49"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Ferrybank, Waterford","Euro","598.94"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Inner Ring Road, Waterford","Euro",""
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Johns Hill, Waterford","Euro","534.1"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Lismore, Waterford","Euro","514.52"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Mary Street, Waterford","Euro","496.96"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Penrose Lane, Waterford","Euro","494.85"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Poleberry, Waterford","Euro",""
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Portlaw, Waterford","Euro","513.33"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Railway Square, Waterford","Euro",""
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Scotch Quay, Waterford","Euro",""
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Templars Hall, Waterford","Euro","761.25"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Tramore, Waterford","Euro","555.51"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Westmeath","Euro","556.31"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Athlone, Westmeath","Euro","594.05"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Castlepollard, Westmeath","Euro","451.24"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Kilbeggan, Westmeath","Euro","502.27"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Kinnegad, Westmeath","Euro","595.21"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Moate, Westmeath","Euro","516.37"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Mullingar, Westmeath","Euro","540.72"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Wexford","Euro","568.58"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Bunclody, Wexford","Euro","503.88"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Clonard, Wexford","Euro","634.35"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Enniscorthy, Wexford","Euro","528.81"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Ferns, Wexford","Euro","572.99"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Ford, Wexford","Euro",""
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Gorey, Wexford","Euro","606.61"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Mulgannon, Wexford","Euro","635.23"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","New Ross, Wexford","Euro","510.34"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Rosslare, Wexford","Euro","574"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Wicklow","Euro","915.38"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Wicklow Town","Euro","850.3"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Arklow, Wicklow","Euro","658.01"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Baltinglass, Wicklow","Euro","654.73"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Blessington, Wicklow","Euro","937.69"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Bray, Wicklow","Euro","1036.24"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Delgany, Wicklow","Euro","1169.22"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Greystones, Wicklow","Euro","1188.21"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Kilcoole, Wicklow","Euro","1059.05"
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Newtownmountkennedy, Wicklow","Euro",""
"RTB Average Monthly Rent Report","2015Q1","All bedrooms","All property types","Rathnew, Wicklow","Euro","836.72"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Carlow","Euro","607.5"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Carlow Town","Euro","638.17"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Graiguecullen, Carlow","Euro","537.08"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Tullow, Carlow","Euro","571.26"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Cavan","Euro","460.68"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Cavan Town","Euro","479.34"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Bailieborough, Cavan","Euro","425.26"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Ballyconnell, Cavan","Euro","391.79"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Ballyjamesduff, Cavan","Euro","507.3"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Belturbet, Cavan","Euro","383.94"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Cootehill, Cavan","Euro","436.31"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Kingscourt, Cavan","Euro","490.74"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Virginia, Cavan","Euro","518.28"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Clare","Euro","533.64"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Ennis, Clare","Euro","537.43"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Killaloe, Clare","Euro","569.25"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Kilrush, Clare","Euro","433.41"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Newmarket-On-Fergus, Clare","Euro",""
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Shannon, Clare","Euro","563.89"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Sixmilebridge, Clare","Euro","571.75"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Cork","Euro","786.15"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Cork City","Euro","887.87"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Ballincollig, Cork","Euro","908.56"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Ballintemple, Cork","Euro","913.8"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Ballinure, Cork","Euro",""
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Bandon, Cork","Euro","697.16"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Bantry, Cork","Euro","530.73"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Bishopstown, Cork","Euro","1048.67"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Blackpool, Cork","Euro","789.93"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Blackrock, Cork","Euro","924.76"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Blarney, Cork","Euro","777.18"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Carrigaline, Cork","Euro","844.28"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Carrigtwohill, Cork","Euro","789.61"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Castlemartyr, Cork","Euro","643.9"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Charleville, Cork","Euro","568.72"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Clonakilty, Cork","Euro","645.23"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Cloyne, Cork","Euro","638.33"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Cobh, Cork","Euro","678.63"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Crosshaven, Cork","Euro","847.56"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Douglas, Cork","Euro","992.19"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Dunmanway, Cork","Euro","540.74"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Fermoy, Cork","Euro","586.45"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Frankfield, Cork","Euro","999.53"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Glanmire, Cork","Euro","833.66"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Kanturk, Cork","Euro","509.81"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Kinsale, Cork","Euro","852.68"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Macroom, Cork","Euro","605.96"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Mallow, Cork","Euro","624.99"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Midleton, Cork","Euro","707.97"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Millstreet, Cork","Euro","518.72"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Mitchelstown, Cork","Euro","574.57"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Montenotte, Cork","Euro","785.69"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Passage West, Cork","Euro","752.47"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Rathcormac, Cork","Euro","642.13"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Ringaskiddy, Cork","Euro",""
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Rochestown, Cork","Euro","1035.23"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Skibbereen, Cork","Euro","472.08"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Tivoli, Cork","Euro","819.9"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Tower, Cork","Euro","826"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Whitegate, Cork","Euro",""
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Wilton, Cork","Euro","907.63"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Youghal, Cork","Euro","559.29"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Donegal","Euro","447.15"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Donegal Town","Euro","475.36"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Ballybofey, Donegal","Euro","443.49"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Buncrana, Donegal","Euro","435.08"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Bundoran, Donegal","Euro","440.14"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Carndonagh, Donegal","Euro","380.84"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Letterkenny, Donegal","Euro","463.77"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Lifford, Donegal","Euro","419.8"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Stranorlar, Donegal","Euro","422.04"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Dublin","Euro","1230.55"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Balbriggan, Dublin","Euro","874.28"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Blackrock, Dublin","Euro","1604.73"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Booterstown, Dublin","Euro","1566.4"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Cabinteely, Dublin","Euro",""
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Citywest, Dublin","Euro",""
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Dalkey, Dublin","Euro","1995.81"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Donabate, Dublin","Euro","1018.03"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Dun Laoghaire, Dublin","Euro","1326.15"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Glenageary, Dublin","Euro","1721.5"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Howth, Dublin","Euro","1400.5"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Killiney, Dublin","Euro","1604.81"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Kinsealy, Dublin","Euro","1176.77"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Lucan, Dublin","Euro","1126.26"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Lusk, Dublin","Euro","1061.53"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Malahide, Dublin","Euro","1449.01"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Monkstown, Dublin","Euro","1283.1"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Mount Merrion, Dublin","Euro","1949.31"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Portmarnock, Dublin","Euro","1273.44"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Rathcoole, Dublin","Euro","1043.1"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Rush, Dublin","Euro","1007.54"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Saggart, Dublin","Euro","1119.23"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Sandycove, Dublin","Euro","1594.54"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Shankill, Dublin","Euro","1231.03"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Skerries, Dublin","Euro","1072.83"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Stepaside, Dublin","Euro",""
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Stillorgan, Dublin","Euro","1527.67"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Swords, Dublin","Euro","1108.29"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Dublin 1","Euro","1134.91"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","I.F.S.C., Dublin 1","Euro","1992.63"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Parnell Street, Dublin 1","Euro","1247.8"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Spencer Dock, Dublin 1","Euro","1580.28"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Summerhill, Dublin 1","Euro","946.65"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Dublin 2","Euro","1415.27"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Aungier Street, Dublin 2","Euro","1171.79"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Charlemont Street, Dublin 2","Euro","1457.95"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Grand Canal Dock, Dublin 2","Euro","1893.38"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Grand Canal Square, Dublin 2","Euro","2239.17"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Hanover Quay, Dublin 2","Euro","1886.91"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Lower Mount Street, Dublin 2","Euro","1439.71"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Pearse Street, Dublin 2","Euro","1294.25"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Tara Street, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Temple Bar, Dublin 2","Euro","1295.05"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Townsend Street, Dublin 2","Euro","1376.46"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Dublin 3","Euro","1146.24"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Clonliffe, Dublin 3","Euro","902.16"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Clontarf, Dublin 3","Euro","1240.21"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Drumcondra, Dublin 3","Euro","1173.57"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","East Wall, Dublin 3","Euro","1127.27"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Eastwall, Dublin 3","Euro",""
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Fairview, Dublin 3","Euro","1083.62"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Marino, Dublin 3","Euro","1321.93"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","North Strand, Dublin 3","Euro","1040.44"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Dublin 4","Euro","1594.86"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Ballsbridge, Dublin 4","Euro","1661.73"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Donnybrook, Dublin 4","Euro","1640.51"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Irishtown, Dublin 4","Euro","1407.76"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Merrion, Dublin 4","Euro","1543.1"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Pembroke, Dublin 4","Euro","1505.34"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Ringsend, Dublin 4","Euro","1421.45"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Sandymount, Dublin 4","Euro","1638.88"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Dublin 5","Euro","1186.89"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Artane, Dublin 5","Euro","1154.02"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Killester, Dublin 5","Euro","1264.37"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Raheny, Dublin 5","Euro","1202.7"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Dublin 6","Euro","1174.71"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Dartry, Dublin 6","Euro","1408.53"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Harolds Cross, Dublin 6","Euro","1260.65"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Milltown, Dublin 6","Euro","1600.16"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Ranelagh, Dublin 6","Euro","1279.59"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Rathgar, Dublin 6","Euro","1109.96"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Rathmines, Dublin 6","Euro","964.8"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Terenure, Dublin 6","Euro","1322.49"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Dublin 6W","Euro","1310.85"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Harolds Cross, Dublin 6W","Euro","1251.35"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Templeogue, Dublin 6W","Euro","1428.98"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Terenure, Dublin 6W","Euro","1392.45"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Dublin 7","Euro","1036.93"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Arbour Hill, Dublin 7","Euro","1256.06"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Cabra, Dublin 7","Euro","953.63"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Navan Road, Dublin 7","Euro","1202.67"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","North Circular Road, Dublin 7","Euro","1064.24"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Phibsboro, Dublin 7","Euro","922.63"
"RTB Average Monthly Rent Report","2015Q2","All bedrooms","All property types","Smithfield, Dublin 7","Euro","1274.04"
